Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Note	Open Position Quantity	Close Position Quantity	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Total Efficiency	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
NQU26 (TM_6)	Short	2026-07-16  02:05:48.979 BP	2026-07-16  02:08:50.657 EP	29678.50	29730.00	3	3	3	-3102.60	-3102.60	IPS(all)+TM(all+last50)	3	0	00:03:01	12.60	29733.00	29646.50	3.2%	100.0%	-3102.60 F	1920.04	-3270.00	1920.04	-3270.00	-59.8%	TM_6	0.00	-3102.60	0.00	-3102.60
NQU26	Short	2026-07-16  03:01:10.618 BP	2026-07-16  03:33:49.897	29641.25	29593.25	1	3	1	955.80	-2146.80	IPS(all)+TM(all+last50)	3	2	00:32:39	4.20	29664.25	29593.25	99.7%	100.0%	955.80	960.00	-459.99	960.00	-459.99	67.3%	TM_6	0.00	-3102.60	955.80	-3102.60
NQU26	Short	2026-07-16  03:01:10.618	2026-07-16  03:46:21.287	29641.25	29560.75	1	3	2	1605.80	-541.00	IPS(all)+TM(all+last50)	3	1	00:45:10	4.20	29664.25	29560.50	72.3%	100.0%	2561.60	2575.00	-919.97	1615.00	-459.99	45.9%	TM_6	0.00	-3102.60	2561.60	-3102.60
NQU26	Short	2026-07-16  03:01:10.618	2026-07-16  03:47:07.446 EP	29641.25	29570.00	1	3	3	1420.80	879.80	IPS(all)+TM(all+last50)	3	0	00:45:56	4.20	29664.25	29556.00	49.5%	100.0%	3982.40 F	4280.01	-1379.96	1705.01	-459.99	25.1%	TM_6	879.80	-3102.60	3982.40	-3102.60
NQU26	Short	2026-07-16  05:45:53.792 BP	2026-07-16  05:58:37.312	29576.00	29534.75	1	3	1	820.80	1700.60	IPS(all)+TM(all+last50)	3	2	00:12:43	4.20	29583.00	29534.75	99.6%	100.0%	820.80	825.00	-139.99	825.00	-139.99	85.1%	TM_6	1700.60	-3102.60	4803.20	-3102.60
NQU26	Short	2026-07-16  05:45:53.792	2026-07-16  07:00:54.511	29576.00	29493.75	1	3	2	1640.80	3341.40	IPS(all)+TM(all+last50)	3	1	01:15:00	4.20	29583.00	29493.75	69.8%	100.0%	2461.60	2470.00	-279.97	1645.00	-139.99	59.7%	TM_6	3341.40	-3102.60	6444.00	-3102.60
NQU26	Short	2026-07-16  05:45:53.792	2026-07-16  07:01:24.606 EP	29576.00	29487.50	1	3	3	1765.80	5107.20	IPS(all)+TM(all+last50)	3	0	01:15:30	4.20	29583.00	29470.50	43.7%	100.0%	4227.40 F	4580.01	-419.96	2110.01	-139.99	35.3%	TM_6	5107.20	-3102.60	8209.80	-3102.60
NQU26	Long	2026-07-16  08:14:39.596 BP	2026-07-16  08:21:23.472 EP	29422.00	29403.25	3	3	3	-1137.60	3969.60	IPS(all)+TM(all+last50)	3	0	00:06:43	12.60	29440.25	29391.00	24.4%	100.0%	-1137.60 F	1094.96	-1860.00	1094.96	-1860.00	-38.5%	TM_6	5107.20	-3102.60	8209.80	-3102.60
NQU26	Long	2026-07-16  08:54:16.363 BP	2026-07-16  09:13:47.608	29413.25	29454.00	1	3	1	810.80	4780.40	IPS(all)+TM(all+last50)	3	2	00:19:31	4.20	29454.50	29387.75	98.9%	100.0%	810.80	825.00	-510.01	825.00	-510.01	60.7%	TM_6	5107.20	-3102.60	8209.80	-3102.60
NQU26	Long	2026-07-16  08:54:16.363	2026-07-16  09:30:01.385	29413.25	29494.75	1	3	2	1625.80	6406.20	IPS(all)+TM(all+last50)	3	1	00:35:45	4.20	29494.75	29387.75	76.1%	100.0%	2436.60	2455.00	-1020.03	1630.00	-510.01	46.8%	TM_6	6406.20	-3102.60	9508.80	-3102.60
NQU26	Long	2026-07-16  08:54:16.363	2026-07-16  09:30:51.298 EP	29413.25	29504.50	1	3	3	1820.80	8227.00	IPS(all)+TM(all+last50)	3	0	00:36:34	4.20	29532.00	29387.75	52.7%	100.0%	4257.40 F	4829.99	-1530.04	2374.99	-510.01	28.6%	TM_6	8227.00	-3102.60	11329.60	-3102.60
NQU26	Short	2026-07-16  09:38:30.615 BP	2026-07-16  09:41:53.136	29396.00	29357.75	1	3	1	760.80	8987.80	IPS(all)+TM(all+last50)	3	2	00:03:22	4.20	29434.50	29357.75	99.7%	100.0%	760.80	765.00	-769.99	765.00	-769.99	49.6%	TM_6	8987.80	-3102.60	12090.40	-3102.60
NQU26	Short	2026-07-16  09:38:30.615	2026-07-16  09:44:46.203	29396.00	29319.25	1	3	2	1530.80	10518.60	IPS(all)+TM(all+last50)	3	1	00:06:15	4.20	29434.50	29319.25	80.0%	100.0%	2291.60	2300.00	-1539.97	1535.00	-769.99	39.9%	TM_6	10518.60	-3102.60	13621.20	-3102.60
NQU26	Short	2026-07-16  09:38:30.615	2026-07-16  09:44:53.755 EP	29396.00	29321.00	1	3	3	1495.80	12014.40	IPS(all)+TM(all+last50)	3	0	00:06:23	4.20	29434.50	29308.50	59.8%	100.0%	3787.40 F	4050.01	-2309.96	1750.01	-769.99	23.5%	TM_6	12014.40	-3102.60	15117.00	-3102.60
NQU26	Long	2026-07-16  09:50:19.158 BP	2026-07-16  09:51:18.092	29293.50	29321.25	1	3	1	550.80	12565.20	IPS(all)+TM(all+last50)	3	2	00:00:58	4.20	29322.50	29285.00	96.1%	100.0%	550.80	580.00	-170.01	580.00	-170.01	73.4%	TM_6	12565.20	-3102.60	15667.80	-3102.60
NQU26	Long	2026-07-16  09:50:19.158	2026-07-16  09:52:37.707	29293.50	29349.00	1	3	2	1105.80	13671.00	IPS(all)+TM(all+last50)	3	1	00:02:18	4.20	29351.00	29285.00	69.8%	100.0%	1656.60	1730.00	-340.03	1150.00	-170.01	53.4%	TM_6	13671.00	-3102.60	16773.60	-3102.60
NQU26	Long	2026-07-16  09:50:19.158	2026-07-16  09:52:41.192 EP	29293.50	29342.75	1	3	3	980.80	14651.80	IPS(all)+TM(all+last50)	3	0	00:02:22	4.20	29353.75	29285.00	43.3%	100.0%	2637.40 F	2934.99	-510.04	1204.99	-170.01	28.5%	TM_6	14651.80	-3102.60	17754.40	-3102.60
NQU26	Short	2026-07-16  09:53:36.084 BP	2026-07-16  09:55:02.183	29298.50	29272.25	1	3	1	520.80	15172.60	IPS(all)+TM(all+last50)	3	2	00:01:26	4.20	29347.25	29270.75	97.8%	100.0%	520.80	555.00	-974.99	555.00	-974.99	34.0%	TM_6	15172.60	-3102.60	18275.20	-3102.60
NQU26	Short	2026-07-16  09:53:36.084	2026-07-16  09:57:02.807 EP	29298.50	29346.25	2	3	3	-1918.40	13254.20	IPS(all)+TM(all+last50)	3	0	00:03:26	8.40	29351.00	29255.50	21.6%	100.0%	-1397.60 F	2275.03	-3074.99	1720.03	-2100.00	-35.9%	TM_6	15172.60	-3102.60	18275.20	-3102.60
NQU26	Long	2026-07-16  10:16:30.953 BP	2026-07-16  10:18:40.884 EP	29489.25	29458.50	3	3	3	-1857.60	11396.60	IPS(all)+TM(all+last50)	3	0	00:02:09	12.60	29501.00	29458.50	-0.5%	100.0%	-1857.60 F	704.96	-1845.00	704.96	-1845.00	-72.8%	TM_6	15172.60	-3102.60	18275.20	-3776.00
NQU26	Long	2026-07-16  10:22:46.421 BP	2026-07-16  10:24:17.258	29423.25	29450.50	1	3	1	540.80	11937.40	IPS(all)+TM(all+last50)	3	2	00:01:30	4.20	29452.25	29411.25	95.2%	100.0%	540.80	580.00	-240.01	580.00	-240.01	66.0%	TM_6	15172.60	-3102.60	18275.20	-3776.00
NQU26	Long	2026-07-16  10:22:46.421	2026-07-16  10:28:06.550	29423.25	29477.50	1	3	2	1080.80	13018.20	IPS(all)+TM(all+last50)	3	1	00:05:20	4.20	29478.00	29406.00	73.7%	100.0%	1621.60	1675.00	-585.03	1095.00	-345.01	47.8%	TM_6	15172.60	-3102.60	18275.20	-3776.00
NQU26	Long	2026-07-16  10:22:46.421	2026-07-16  10:28:30.849 EP	29423.25	29477.50	1	3	3	1080.80	14099.00	IPS(all)+TM(all+last50)	3	0	00:05:44	4.20	29478.75	29406.00	54.1%	100.0%	2702.40 F	2784.99	-930.04	1109.99	-345.01	29.1%	TM_6	15172.60	-3102.60	18275.20	-3776.00
NQU26	Long	2026-07-16  10:40:02.636 BP	2026-07-16  10:40:15.840 EP	29459.75	29443.25	3	3	3	-1002.60	13096.40	IPS(all)+TM(all+last50)	3	0	00:00:13	12.60	29461.00	29443.25	-1.2%	100.0%	-1002.60 F	74.96	-990.00	74.96	-990.00	-94.1%	TM_6	15172.60	-3102.60	18275.20	-3776.00
NQU26	Short	2026-07-16  11:01:58.205 BP	2026-07-16  11:05:01.368	29425.00	29399.75	1	3	1	500.80	13597.20	IPS(all)+TM(all+last50)	3	2	00:03:03	4.20	29456.00	29399.75	99.6%	100.0%	500.80	505.00	-619.99	505.00	-619.99	44.5%	TM_6	15172.60	-3102.60	18275.20	-3776.00
NQU26	Short	2026-07-16  11:01:58.205	2026-07-16  11:07:06.906	29425.00	29374.50	1	3	2	1005.80	14603.00	IPS(all)+TM(all+last50)	3	1	00:05:08	4.20	29456.00	29374.50	81.5%	100.0%	1506.60	1515.00	-1239.97	1010.00	-619.99	36.5%	TM_6	15172.60	-3102.60	18275.20	-3776.00
NQU26	Short	2026-07-16  11:01:58.205	2026-07-16  11:07:18.346 EP	29425.00	29383.00	1	3	3	835.80	15438.80	IPS(all)+TM(all+last50)	3	0	00:05:20	4.20	29456.00	29372.50	60.9%	100.0%	2342.40 F	2565.01	-1859.96	1050.01	-619.99	18.9%	TM_6	15438.80	-3102.60	18541.40	-3776.00
NQU26	Long	2026-07-16  11:31:10.345 BP	2026-07-16  11:32:04.252	29402.25	29425.25	1	3	1	455.80	15894.60	IPS(all)+TM(all+last50)	3	2	00:00:53	4.20	29426.00	29396.50	96.7%	100.0%	455.80	474.99	-115.01	474.99	-115.01	77.3%	TM_6	15894.60	-3102.60	18997.20	-3776.00
NQU26	Long	2026-07-16  11:31:10.345	2026-07-16  11:39:06.342	29402.25	29448.25	1	3	2	915.80	16810.40	IPS(all)+TM(all+last50)	3	1	00:07:55	4.20	29452.75	29396.50	66.8%	100.0%	1371.60	1484.99	-230.03	1010.00	-115.01	53.4%	TM_6	16810.40	-3102.60	19913.00	-3776.00
